date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:47:37	120225/120225	UR-MCZ	200	added ('OK')	application/javascript	etag:W/%225fd8c8e5-1d5a1%22	http://ncg.macmar.co/wp-content/plugins/elementor/assets/js/frontend.min.js?ver=3.0.14	D:/src/NeverClog/Never%20Clog/ncg.macmar.co/wp-content/plugins/elementor/assets/js/frontend.minc578.js	(from http://ncg.macmar.co/)
21:47:38	754/754	UR-MCZ	200	added ('OK')	application/javascript	etag:W/%225fdd0a0b-2f2%22	http://ncg.macmar.co/wp-content/plugins/wpforms-lite/assets/js/integrations/elementor/frontend.min.js?ver=1.6.4	D:/src/NeverClog/Never%20Clog/ncg.macmar.co/wp-content/plugins/wpforms-lite/assets/js/integrations/elementor/frontend.min2745.js	(from http://ncg.macmar.co/)
21:47:39	139153/139153	UR-MCZ	200	added ('OK')	application/javascript	etag:W/%225fd8c8e5-21f91%22	http://ncg.macmar.co/wp-content/plugins/elementor/assets/lib/swiper/swiper.min.js?ver=5.3.6	D:/src/NeverClog/Never%20Clog/ncg.macmar.co/wp-content/plugins/elementor/assets/lib/swiper/swiper.min48f5.js	(from http://ncg.macmar.co/)
21:47:40	166/166	UR-M--	412	error ('Precondition%20Failed')	text/html	date:Fri,%2001%20Jan%202021%2003:47:40%20GMT	http://ncg.macmar.co/wp-json/wp/v2/pages/1321	D:/src/NeverClog/Never%20Clog/ncg.macmar.co/wp-json/wp/v2/pages/1321.json	(from http://ncg.macmar.co/about/)
21:47:41	166/166	UR-M--	412	error ('Precondition%20Failed')	text/html	date:Fri,%2001%20Jan%202021%2003:47:42%20GMT	http://ncg.macmar.co/wp-json/oembed/1.0/embed?url=http%3A%2F%2Fncg.macmar.co%2Fabout%2F	D:/src/NeverClog/Never%20Clog/ncg.macmar.co/wp-json/oembed/1.0/embed04cb.json	(from http://ncg.macmar.co/about/)
21:47:42	166/166	UR-M--	412	error ('Precondition%20Failed')	text/html	date:Fri,%2001%20Jan%202021%2003:47:42%20GMT	http://ncg.macmar.co/wp-json/oembed/1.0/embed?url=http%3A%2F%2Fncg.macmar.co%2Fabout%2F&format=xml	D:/src/NeverClog/Never%20Clog/ncg.macmar.co/wp-json/oembed/1.0/embedad96	(from http://ncg.macmar.co/about/)
21:47:42	274409/274409	URF---	200	added ('OK%20(cached)')	image/jpeg		http://ncg.macmar.co/wp-content/uploads/elementor/thumbs/Good-Installation-1-scaled-p0jnekp9nn8wccvshhx8fh6fsiml0zpp9d3niyzvnk.jpeg	D:/src/NeverClog/Never%20Clog/ncg.macmar.co/wp-content/uploads/elementor/thumbs/Good-Installation-1-scaled-p0jnekp9nn8wccvshhx8fh6fsiml0zpp9d3niyzvnk.jpg	(from http://ncg.macmar.co/about/)
21:47:45	75936/75936	---M--	200	added ('OK')	font/woff2	etag:%225fd8c8e5-128a0%22	http://ncg.macmar.co/wp-content/plugins/elementor/assets/lib/font-awesome/webfonts/fa-brands-400.woff2	D:/src/NeverClog/Never%20Clog/ncg.macmar.co/wp-content/plugins/elementor/assets/lib/font-awesome/webfonts/fa-brands-400.woff2	(from http://ncg.macmar.co/wp-content/plugins/elementor/assets/lib/font-awesome/css/all.min.css?ver=3.0.14)
21:47:45	166/166	UR-M--	412	error ('Precondition%20Failed')	text/html	date:Fri,%2001%20Jan%202021%2003:47:45%20GMT	http://ncg.macmar.co/wp-json/wp/v2/pages/1446	D:/src/NeverClog/Never%20Clog/ncg.macmar.co/wp-json/wp/v2/pages/1446.json	(from http://ncg.macmar.co/gutter-guards/)
21:47:48	13576/13576	---M--	200	added ('OK')	font/woff2	etag:%225fd8c8e5-3508%22	http://ncg.macmar.co/wp-content/plugins/elementor/assets/lib/font-awesome/webfonts/fa-regular-400.woff2	D:/src/NeverClog/Never%20Clog/ncg.macmar.co/wp-content/plugins/elementor/assets/lib/font-awesome/webfonts/fa-regular-400.woff2	(from http://ncg.macmar.co/wp-content/plugins/elementor/assets/lib/font-awesome/css/all.min.css?ver=3.0.14)
